Variable,Information,Variable Schema,Dashboard,Notes,Data Link,Reference
Head count,Population of animal,``lvst_pop_$CAT-LIVESTOCK$``,`Head Count Dashboard <https://public.tableau.com/views/Livestock_liveAnimals_20220122/Dashboard1?:language=es-ES&publish=yes&:display_count=n&:origin=viz_share_link>`_,FAO: This variable indicates the number of animals of the species present in the country at the time of enumeration.,`Head Count data on Google Drive <https://drive.google.com/file/d/1EvKf6QLUZlvhRaDmeH_R2IKvFxzZDb7U/view?usp=sharing>`_,`FAO - Head Count <https://www.fao.org/faostat/en/#data/QCL (Crops and livestock products/stocks)>`_
:math:`\text{CH}_4` Enteric Fermentation Emission Factor ,"This represents emissions from enteric fermentation, primarily occuring in multigastric ruminant livestock (including buffalo, camels, cattle, goats, and sheep)","``ef_lvst_entferm_$CAT-LIVESTOCK$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-POPULATION$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-POPULATION$ = head``)",`Enteric Fermentation (CH4) Dashboard <https://public.tableau.com/shared/PZP8XTG4Z?:display_count=n&:origin=viz_share_link>`_,"FAO: buffaloes, camels, cattle dairy, cattle non dairy, goats, horses, llamas,  mules, sheep.",`Enteric Fermentation (CH4) data on Google Drive <https://drive.google.com/file/d/11zpYhIFunglJs5Dr5qNE0gz-ZUYilmTF/view?usp=sharing>`_,`FAO Enteric Fermentation <https://www.fao.org/faostat/en/#data/GE (Enteric Fermentation/Emissions CH4)>`_
:math:`\text{CH}_4` Manure Management Emission Factor ,Methane emissions from manure management,"``ef_lvst_mm_$CAT-LANDUSE$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-POPULATION$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-POPULATION$ = head``)",`Manure Management  (CH4) Dashboard <https://public.tableau.com/views/CH4Emissions_ManureManagement_20220122/Dashboard1?:language=es-ES&publish=yes&:display_count=n&:origin=viz_share_link>`_,"FAO: buffaloes, camels, cattle dairy, cattle non dairy, chickens broilers, chickens layers,  goats, horses, llamas, mules, sheep",`Manure Management (CH4) data on Google Drive <https://drive.google.com/file/d/1lYI2yq2T3nVM7xF7HULZ2A9vZsLh1YLD/view?usp=sharing>`_,`FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
:math:`\text{N}_2\text{O}` Manure Management Emission Factor,This represents the per-animal nitrus oxide (:math:`\text{N}_2\text{O}`) emissions from manure management,"``ef_lvst_mm_$CAT-LANDUSE$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-POPULATION$`` (``$EMISSION-GAS$ = n2o``, ``$UNIT-POPULATION$ = head``)",UNDER CONSTRUCTION,,"`Manure Management (N2O) data on Google Drive <FAO: N2O Manure Management: buffaloes, camels, cattle dairy, cattle non dairy, chickens broilers, chickens layers,  goats, horses, llamas, mules, sheep  https://drive.google.com/file/d/1dEJ81FMVPG-_W_mkZcMiIPhggYMPzrI6/view?usp=sharing>`_",`FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_
